i; TZ; vz; CX; CY; k; R; D_12; D_23; v_f; v_cruis; k_f; p12; p23;px1; py1; pz1; d1; phi1; angle1; v1; vx1; vy1; vz1;px2; py2; pz2; d2; phi2; angle2; v2; vx2; vy2; vz2;px3; py3; pz3; d3; phi3; angle3; v3; vx3; vy3; vz3;
30;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5947265044430736;3.2459847536775173;0.7118630409240723;0.5670739412307739;0.09324198216199875;0.6053584086577127;0.3575492332051758;2.4131963607913263;0.04841082713097188;0.03222581617884802;-0.03612623638177579;0.05;0.36717015504837036;0.04603531211614609;0.00614656787365675;0.14058100039302948;-1.237177271237898;-0.7293927789817791;0.05520911284559653;-0.03679229281986408;0.04116276630955687;0.05;0.9797837138175964;-0.11194701492786407;0.09324198216199875;0.4926708294549868;1.8000232822641713;3.3341901472604794;0.04635045256235427;-0.008871893996104063;-0.04549344952470571;0.05;
31;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4859346010739756;3.328829446838488;0.7091187834739685;0.560205340385437;0.0861089751124382;0.59796378569107;0.3572702300666141;2.383536185962292;0.0480655949303074;0.033045644587747385;-0.034903965244434246;0.05;0.36989107728004456;0.06159195303916931;0.022140495479106903;0.14395103490606304;-1.1286643710073614;-0.6168672561152571;0.055801028215875965;-0.03227992616100807;0.04551660265209666;0.05;0.979629635810852;-0.12497364729642868;0.0861089751124382;0.49564402555324194;1.8256914893337375;3.37471138676897;0.046090451652193935;-0.010647494226251004;-0.04484373535071737;0.05;
32;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6005380381173744;3.2373280719110222;0.7103554010391235;0.5658624172210693;0.08922004699707031;0.6036966704973633;0.35591217827880106;2.4050332214193677;0.04842928027923699;0.032532038475196756;-0.03587564161117138;0.05;0.36665141582489014;0.04510537534952164;0.011375663802027702;0.14077052172570645;-1.2446258598385733;-0.736617233043747;0.05516427108255999;-0.037058584538021855;0.04086267387370106;0.05;0.9806354641914368;-0.11275818943977356;0.08922004699707031;0.4936849792370169;1.8012313754299898;3.340463085461991;0.04637764966405411;-0.009162468287059413;-0.045463563028543735;0.05;
33;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5870562871908271;3.2273801487572515;0.7084783911705017;0.5590971112251282;0.0816330835223198;0.5967016166940761;0.3569142952665088;2.378077866018365;0.04838647381190422;0.0334575448449058;-0.03495487864234705;0.05;0.36805278062820435;0.046771761029958725;0.004797159228473902;0.1399916652154418;-1.2301419919243182;-0.7230533161134713;0.055175225494035675;-0.036508182938432866;0.04136977262267226;0.05;0.9808435440063477;-0.1252754032611847;0.0816330835223198;0.496894798196597;1.8256631664980167;3.380934731646315;0.04640891007753205;-0.011001859139552093;-0.045085984851812984;0.05;
34;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.586922120820982;3.2510900995857592;0.709067702293396;0.5619582533836365;0.09520016610622406;0.5995885111376197;0.3561680053674739;2.3889646315033373;0.048386047843785765;0.033074732918867034;-0.03531673354497466;0.05;0.3678622543811798;0.046748269349336624;0.00364241492934525;0.14016342070733775;-1.230754115453508;-0.723462831093078;0.0552491067484538;-0.03657402963324021;0.04141019382819779;0.05;0.9813538789749146;-0.11298245191574097;0.09520016610622406;0.49443562902069405;1.8013410921403186;3.344322739260854;0.04633441536454656;-0.009329168241184833;-0.04538551164305628;0.05;
35;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.586521070629402;3.2265099856622355;0.7061735987663269;0.5550962686538696;0.08777662366628647;0.5921481405034617;0.35562794460892294;2.358174182628659;0.048384774543085894;0.03414540356838782;-0.03428086671508147;0.05;0.36773303151130676;0.04677329957485199;0.002502202056348324;0.1402935939603367;-1.230893126020479;-0.7234481864525681;0.055174187255885146;-0.03652382850218646;0.04135457521109787;0.05;0.9820865988731384;-0.12566053867340088;0.08777662366628647;0.4981948010495087;1.8257821954968725;3.387552772638994;0.04641164481504589;-0.011300662800835064;-0.045014839716473486;0.05;
36;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6949200090248802;3.143830972843913;0.7074463367462158;0.5609495639801025;0.09068575501441956;0.5980789211792132;0.3542152630936782;2.380945398381822;0.04872910702934107;0.03359338124976974;-0.035298875450708006;0.05;0.3602057099342346;0.03274540975689888;0.007753246463835239;0.14357822047629146;-1.340704745931202;-0.8293543732209996;0.05458015328072944;-0.040252617405445695;0.03686081827847464;0.05;0.9822463393211365;-0.1141006126999855;0.09068575501441956;0.4955607748875498;1.8031262269126702;3.351730072175054;0.046671724470649135;-0.009735455579164503;-0.045645051974231604;0.05;
37;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6197625684805919;3.190473363977704;0.7061935067176819;0.5567607879638672;0.09699656069278717;0.5937157040424996;0.35468323551490233;2.3636755241902496;0.04849033068239143;0.034030376061067215;-0.03454338829399941;0.05;0.3698335587978363;0.04108202084898949;0.00011619820725172758;0.1364955488368509;-1.2650793329656895;-0.7620828988537129;0.05495920922812819;-0.03794547087181807;0.03975746369296182;0.05;0.9823902249336243;-0.12669341266155243;0.09699656069278717;0.4987499873918224;1.827632610236194;3.3921789553709663;0.04652494651455936;-0.01153688365458484;-0.04507184224904927;0.05;
38;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.687918896999251;3.1465760676957446;0.7061935067176819;0.5567607879638672;0.09699656069278717;0.5937157040424996;0.35468323551490233;2.3636755241902496;0.048706857928698846;0.03418233426625191;-0.03469763728839003;0.05;0.3645828068256378;0.032788947224617004;-0.010958160273730755;0.13933029558326948;-1.3332356614843486;-0.826925781639509;0.054610534318911594;-0.04018533489773958;0.036979038897104057;0.05;0.9829860925674438;-0.11440180242061615;0.09699656069278717;0.4963500156247133;1.8033735779995081;3.3559220086173682;0.04666308199250199;-0.009924872450879032;-0.04559539590652488;0.05;
39;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6335317497858255;3.17575913382788;0.7031137943267822;0.549689769744873;0.08978459984064102;0.5860154062889421;0.35394553648488986;2.3309049307047287;0.048534063658319526;0.03517560558227285;-0.033439977678075494;0.05;0.37143248319625854;0.03853568807244301;-0.017606737092137337;0.1342184995903954;-1.2795862133009357;-0.7792227600053905;0.05487068827287527;-0.03855909530410896;0.0390382965928035;0.05;0.9837010502815247;-0.12714490294456482;0.08978459984064102;0.5001325148280532;1.827839960050773;3.3992988608889783;0.04657123469567356;-0.011869292935931966;-0.04503331862388719;0.05;
