i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
64;0.251869797706604;-0.08743670582771301;0.10166441580083979;2.606168328211523;4.177131096584967;-0.08601371209260349;-0.05100628718158887;0.2;0.0;0.1;0.1;0.1
65;0.25175940990448;-0.08777322620153427;0.10166441580083979;2.606168328211523;4.177131096584967;-0.08601371209260349;-0.05100628718158887;0.2;0.0;0.1;0.1;0.1
66;0.25175940990448;-0.08777322620153427;0.10189786921955572;2.6087850100214878;4.179771123736061;-0.08614807017264231;-0.05077903115981534;0.2;0.0;0.1;0.1;0.1
67;0.25175940990448;-0.08777322620153427;0.10189786921955572;2.6087850100214878;4.179771123736061;-0.08614807017264231;-0.05077903115981534;0.2;0.0;0.1;0.1;0.1
68;0.2508838176727295;-0.08978961408138275;0.1032053181664357;2.6260180495766403;4.197134908177203;-0.08701675547931864;-0.049275595032962;0.2;0.0;0.1;0.1;0.1
69;0.2508838176727295;-0.08978961408138275;0.1032053181664357;2.6260180495766403;4.197134908177203;-0.08701675547931864;-0.049275595032962;0.2;0.0;0.1;0.1;0.1
70;0.2508838176727295;-0.08978961408138275;0.1032053181664357;2.6260180495766403;4.197134908177203;-0.08701675547931864;-0.049275595032962;0.2;0.0;0.1;0.1;0.1
71;0.2508838176727295;-0.08978961408138275;0.1032053181664357;2.6260180495766403;4.197134908177203;-0.08701675547931864;-0.049275595032962;0.2;0.0;0.1;0.1;0.1
72;0.2508838176727295;-0.08978961408138275;0.1032053181664357;2.6260180495766403;4.197134908177203;-0.08701675547931864;-0.049275595032962;0.2;0.0;0.1;0.1;0.1
73;0.250907838344574;-0.08981939405202866;0.10324307024101365;2.6259578455244452;4.197078479332073;-0.08701397477585932;-0.04928050520952601;0.2;0.0;0.1;0.1;0.1
74;0.250907838344574;-0.08981939405202866;0.10324307024101365;2.6259578455244452;4.197078479332073;-0.08701397477585932;-0.04928050520952601;0.2;0.0;0.1;0.1;0.1
75;0.2501734495162964;-0.09174858033657074;0.10457139680687313;2.6411648901278206;4.21241835657156;-0.08775966452059238;-0.04793997583680118;0.2;0.0;0.1;0.1;0.1
76;0.2501734495162964;-0.09174858033657074;0.10457139680687313;2.6411648901278206;4.21241835657156;-0.08775966452059238;-0.04793997583680118;0.2;0.0;0.1;0.1;0.1
77;0.2501734495162964;-0.09174858033657074;0.10457139680687313;2.6411648901278206;4.21241835657156;-0.08775966452059238;-0.04793997583680118;0.2;0.0;0.1;0.1;0.1
78;0.2501734495162964;-0.09174858033657074;0.10457139680687313;2.6411648901278206;4.21241835657156;-0.08775966452059238;-0.04793997583680118;0.2;0.0;0.1;0.1;0.1
79;0.2499479502439499;-0.09199975430965424;0.10468406051834651;2.644206059443269;4.215470792255743;-0.08790558914226017;-0.04767187218425716;0.2;0.0;0.1;0.1;0.1
80;0.2499479502439499;-0.09199975430965424;0.10468406051834651;2.644206059443269;4.215470792255743;-0.08790558914226017;-0.04767187218425716;0.2;0.0;0.1;0.1;0.1
81;0.2499479502439499;-0.09199975430965424;0.10468406051834651;2.644206059443269;4.215470792255743;-0.08790558914226017;-0.04767187218425716;0.2;0.0;0.1;0.1;0.1
82;0.24915507435798645;-0.09396755695343018;0.10468406051834651;2.644206059443269;4.215470792255743;-0.08790558914226017;-0.04767187218425716;0.2;0.0;0.1;0.1;0.1
83;0.24915507435798645;-0.09396755695343018;0.10604773969743683;2.6596308905121027;4.231031991203011;-0.08863674769612545;-0.046298239252194055;0.2;0.0;0.1;0.1;0.1
84;0.24915507435798645;-0.09396755695343018;0.10604773969743683;2.6596308905121027;4.231031991203011;-0.08863674769612545;-0.046298239252194055;0.2;0.0;0.1;0.1;0.1
85;0.24915507435798645;-0.09396755695343018;0.10604773969743683;2.6596308905121027;4.231031991203011;-0.08863674769612545;-0.046298239252194055;0.2;0.0;0.1;0.1;0.1
86;0.2490035891532898;-0.09394626319408417;0.10595872837117551;2.6608045465230994;4.232196746084589;-0.08869061365942028;-0.046194967785630654;0.2;0.0;0.1;0.1;0.1
87;0.2490035891532898;-0.09394626319408417;0.10595872837117551;2.6608045465230994;4.232196746084589;-0.08869061365942028;-0.046194967785630654;0.2;0.0;0.1;0.1;0.1
88;0.24828830361366272;-0.09593289345502853;0.10595872837117551;2.6608045465230994;4.232196746084589;-0.08869061365942028;-0.046194967785630654;0.2;0.0;0.1;0.1;0.1
89;0.24828830361366272;-0.09593289345502853;0.1074005601127812;2.6752646312373747;4.246801013908444;-0.08935577535483788;-0.044894826102077165;0.2;0.0;0.1;0.1;0.1
90;0.24828830361366272;-0.09593289345502853;0.1074005601127812;2.6752646312373747;4.246801013908444;-0.08935577535483788;-0.044894826102077165;0.2;0.0;0.1;0.1;0.1
91;0.24828830361366272;-0.09593289345502853;0.1074005601127812;2.6752646312373747;4.246801013908444;-0.08935577535483788;-0.044894826102077165;0.2;0.0;0.1;0.1;0.1
92;0.24828830361366272;-0.09593289345502853;0.1074005601127812;2.6752646312373747;4.246801013908444;-0.08935577535483788;-0.044894826102077165;0.2;0.0;0.1;0.1;0.1
