i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
63;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6737530827522278;0.19581030309200287;0.2425653040409088;0.26178580664903234;0.7257843435425436;1.4241981837207955;0.3;0.2967821168297388;0.04382208495792119;0.7034312944352017;0.200192511587795;
64;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6870833039283752;0.2014344185590744;0.232401505112648;0.2749108720821881;0.7484768284541019;1.4749225165597744;0.3;0.29862228766508336;0.028718100732328875;0.7169455326948836;0.2043062286323073;
65;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7007314562797546;0.20721471309661865;0.21534419059753418;0.28849792869950563;0.7695070690273739;1.5269610784327678;0.3;0.29971181680061965;0.01314636337820421;0.7307026379598166;0.20852934943443907;
66;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7085996270179749;0.20929595828056335;0.20591667294502258;0.29549721241429255;0.7837318844449207;1.5579988473864237;0.3;0.2999754340133967;0.003839139027733883;0.7385971704193145;0.20967987218333675;
67;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6791224479675293;0.18811164796352386;0.237706258893013;0.2597515032977345;0.7609249313015588;1.4551543039577055;0.3;0.29799627287684827;0.034615334051644964;0.7089220752552141;0.19157318136868837;
68;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6949046850204468;0.19643259048461914;0.22600364685058594;0.27671935033065115;0.7814938644813157;1.5119468818693673;0.3;0.2994806613343644;0.01764464470403731;0.7248527511538833;0.19819705495502288;
69;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7113285064697266;0.20361770689487457;0.21146488189697266;0.2934619365571152;0.8039786732545162;1.5732959319353186;0.3;0.29999906279660926;-0.0007498807612469549;0.7413284127493875;0.20354271881874988;
70;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6888521313667297;0.18306691944599152;0.22898976504802704;0.2630182969247609;0.8009519388257806;1.5019214179006433;0.3;0.2992887182841615;0.02064614026455832;0.7187810031951459;0.18513153347244735;
71;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7057629823684692;0.19576901197433472;0.22508291900157928;0.2840139274095096;0.810282624842425;1.5572703434666098;0.3;0.2999725575846418;0.004057671269180633;0.7357602381269335;0.19617477910125278;
72;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7214459776878357;0.20237845182418823;0.2148914486169815;0.29999226456173284;0.830357056111099;1.6157358812868559;0.3;0.2996971164458397;-0.013477328891467967;0.7514156893324196;0.20103071893504143;
73;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7024867534637451;0.18615517020225525;0.2341378778219223;0.2750538723983324;0.8273956405634715;1.5541568879587797;0.3;0.29995847031949285;0.004991601305182977;0.7324826004956944;0.18665433033277354;
74;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7225573062896729;0.19726547598838806;0.217777818441391;0.2973977515043457;0.845569502862768;1.624504184579271;0.3;0.29956742389853624;-0.016104612345371506;0.7525140486795264;0.19565501475385091;
75;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7373303174972534;0.20182295143604279;0.2056366503238678;0.3115416237514698;0.8660768135187457;1.6811775913433316;0.3;0.29817425134240977;-0.03304717592160382;0.7671477426314944;0.1985182338438824;
76;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7458140850067139;0.20274390280246735;0.1990647315979004;0.31863718319001044;0.881123902880346;1.7153531706848777;0.3;0.29687095242304884;-0.04321617298456515;0.7755011802490187;0.19842228550401084;
77;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7121013402938843;0.17413264513015747;0.22909361124038696;0.27442513852504014;0.8833882236555313;1.6087637133124932;0.3;0.2997837976077422;-0.01138747961053083;0.7420797200546585;0.17299389716910438;
78;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.712466835975647;0.17477726936340332;0.22480173408985138;0.27511679388148974;0.8824202508346323;1.6093204182872596;0.3;0.29977741168696004;-0.011554368968786673;0.742444577144343;0.17362183246652466;
79;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7067657709121704;0.1520165055990219;0.20954689383506775;0.25663417932037347;0.936827444460377;1.6247252704371296;0.3;0.2995638560752579;-0.01617084207214275;0.7367221565196962;0.15039942139180765;
80;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7104488611221313;0.14332564175128937;0.21179351210594177;0.2546192505114668;0.9729038233655392;1.6567603885123612;0.3;0.29889220946380834;-0.02575746730256927;0.7403380820685121;0.14074989502103244;
81;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7184188365936279;0.14056436717510223;0.21830908954143524;0.25974050415414784;0.9989657544250756;1.6931726159874407;0.3;0.29775640866818015;-0.03662132025238428;0.748194477460446;0.1369022351498638;
82;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.734250009059906;0.1385965347290039;0.22709296643733978;0.2721802090223572;1.0365311971605773;1.7569938929031443;0.3;0.2948145773107525;-0.055537059744663414;0.7637314667909813;0.13304282875453757;
83;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7655909657478333;0.18824262917041779;0.2500225603580475;0.3255362476343582;0.9542093755058525;1.807696299381108;0.3;0.2916210572916722;-0.0704070944158842;0.7947530714770005;0.18120191972882937;
84;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7762619853019714;0.20578768849372864;0.23668919503688812;0.3444840449985726;0.9305669004298347;1.8404434411697292;0.3;0.28915948861361;-0.0799173957578419;0.8051779341633324;0.19779594891794444;
85;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.780107319355011;0.19796068966388702;0.2255820631980896;0.3429993367463732;0.9555667934299509;1.8608336246422128;0.3;0.2874699628331242;-0.08579638960190684;0.8088543156383234;0.18938105070369635;
86;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7935218811035156;0.2029804289340973;0.20829659700393677;0.3568699331924959;0.9657747109285968;1.9154185352532576;0.3;0.2823609459868111;-0.10135233683262136;0.8217579757021968;0.19284519525083516;
87;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7937499284744263;0.1897531896829605;0.19908447563648224;0.3497074398316229;0.9972604503682903;1.9236201329851577;0.3;0.28152020758862006;-0.10366471298981275;0.8219019492332883;0.17938671838397924;
88;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8058620691299438;0.18486499786376953;0.1872299760580063;0.3573886858416506;1.0271431103313853;1.9785043167098793;0.3;0.275409608897209;-0.11895186979230872;0.8334030300196648;0.17296981088453867;
89;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.7929994463920593;0.16808919608592987;0.20464324951171875;0.3377908427220422;1.0499513572267274;1.9393077026331886;0.3;0.279859386557129;-0.10806814403822913;0.8209853850477722;0.15728238168210695;
90;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8074555397033691;0.16812090575695038;0.19480153918266296;0.35041910314197683;1.0704026911035025;1.9990403886835382;0.3;0.2729089041939163;-0.12458222189251494;0.8347464301227607;0.15566268356769888;
91;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8193850517272949;0.16916854679584503;0.19253794848918915;0.36142054243203287;1.0836957403634295;2.048548946941136;0.3;0.2664091425428428;-0.137935378962713;0.8460259659815792;0.15537500889957373;
92;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8265115022659302;0.16952574253082275;0.19593031704425812;0.3678977283058178;1.0919046225739828;2.0789718276760842;0.3;0.2620901200542311;-0.14597523409797541;0.8527205142713533;0.15492821912102522;
93;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8310592174530029;0.16890522837638855;0.20069275796413422;0.3716573443825302;1.0990248928322417;2.099293538203822;0.3;0.2590697417088691;-0.15127084626886914;0.8569661916238899;0.15377814374950163;
94;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8316402435302734;0.16623082756996155;0.20982211828231812;0.37096891940351734;1.1061584825475312;2.1039928235066787;0.3;0.2583560189107518;-0.15248661414231507;0.8574758454213486;0.15098216615573004;
95;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8311470150947571;0.16210214793682098;0.21754708886146545;0.36869425269713424;1.1155700997454117;2.1054152677180937;0.3;0.2581388539103291;-0.15285395677528849;0.85696090048579;0.14681675225929214;
96;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.832552433013916;0.15781301259994507;0.21846356987953186;0.36809790497820755;1.1277145869006255;2.1154789732007;0.3;0.2565875308682221;-0.1554440060052145;0.8582111861007382;0.14226861199942362;
97;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8366133570671082;0.15288463234901428;0.21306774020195007;0.3697056436741015;1.1444678662613197;2.1378550238044323;0.3;0.2530453657444536;-0.16114602966022998;0.8619178936415535;0.1367700293829913;
98;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8411691188812256;0.14851322770118713;0.20745417475700378;0.37209212095987265;1.1602282406096698;2.1620382074109905;0.3;0.24907473136246616;-0.16721775682240003;0.8660765920174722;0.13179145201894713;
99;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8474684357643127;0.1449279934167862;0.20204554498195648;0.37648165576600723;1.17563870804091;2.193180767065302;0.3;0.24374721019968928;-0.17489224545378929;0.8718431567842817;0.12743876887140726;
100;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8543646335601807;0.1418844610452652;0.19891013205051422;0.38171388998089456;1.1899528020144152;2.2266545227675048;0.3;0.23775745743495502;-0.1829518828382631;0.8781403793036762;0.12358927276143888;
101;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.8605405688285828;0.13896842300891876;0.1994575560092926;0.38639581307879595;1.2029003174779473;2.2571231346109752;0.3;0.2320736790571905;-0.1901099878724422;0.8837479367343019;0.11995742422167455;
